epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.562,0.48248,3.05667,1.13484,0.63776,0.63394,0.66244,0.4742,0.95408,1.43839,1.54583,0.000128087,0.000128087,0.000128087
2,365.687,0.44559,1.87877,1.09841,0.65727,0.7202,0.71247,0.49391,1.02389,1.4137,1.62626,0.000251343,0.000251343,0.000251343
3,533.192,0.45514,1.62565,1.10102,0.65729,0.71177,0.73388,0.4896,1.06772,1.36557,1.67842,0.000369517,0.000369517,0.000369517
4,700.048,0.43339,1.45339,1.08667,0.73375,0.70574,0.77687,0.55797,0.95043,1.28165,1.52219,0.000362131,0.000362131,0.000362131
5,866.229,0.40797,1.29938,1.06899,0.74269,0.76918,0.78714,0.57365,0.92326,1.13237,1.51997,0.000354508,0.000354508,0.000354508
6,1032.84,0.39974,1.19013,1.0642,0.76698,0.74747,0.80618,0.57939,0.98409,1.0638,1.51089,0.000346885,0.000346885,0.000346885
7,1198.81,0.3808,1.08504,1.05399,0.78635,0.77877,0.84525,0.6324,0.88007,0.99228,1.45983,0.000339262,0.000339262,0.000339262
8,1366.38,0.37768,1.02468,1.0541,0.77796,0.78326,0.84223,0.60948,0.91919,0.96771,1.50102,0.000331639,0.000331639,0.000331639
9,1533.9,0.36457,0.95842,1.04214,0.82883,0.77772,0.86465,0.65696,0.84736,0.91841,1.38939,0.000324016,0.000324016,0.000324016
10,1702.21,0.3561,0.90833,1.03689,0.80522,0.78934,0.85153,0.65307,0.84913,0.91979,1.42026,0.000316393,0.000316393,0.000316393
11,1869.04,0.34865,0.86813,1.03423,0.82734,0.80202,0.86594,0.65784,0.87084,0.84302,1.4128,0.00030877,0.00030877,0.00030877
12,2037.69,0.34366,0.83569,1.02614,0.81286,0.80651,0.86656,0.66646,0.82384,0.85271,1.35806,0.000301147,0.000301147,0.000301147
13,2206.35,0.33714,0.80482,1.02243,0.82409,0.82012,0.87271,0.66441,0.82436,0.85613,1.35213,0.000293524,0.000293524,0.000293524
14,2376.14,0.33232,0.78607,1.02348,0.79115,0.83239,0.87809,0.67003,0.82917,0.86884,1.36334,0.000285901,0.000285901,0.000285901
15,2544.8,0.33041,0.75805,1.01961,0.78697,0.82503,0.86906,0.66779,0.77504,0.86787,1.32092,0.000278278,0.000278278,0.000278278
16,2714.25,0.31641,0.73228,1.01111,0.82212,0.81162,0.86446,0.67675,0.76012,0.86061,1.29465,0.000270655,0.000270655,0.000270655
17,2884.08,0.3202,0.71579,1.013,0.82122,0.82544,0.88522,0.70738,0.74732,0.79817,1.27008,0.000263032,0.000263032,0.000263032
18,3052.04,0.31461,0.67139,1.00839,0.82444,0.82097,0.89623,0.70664,0.75324,0.78473,1.29249,0.000255409,0.000255409,0.000255409
19,3219.17,0.31197,0.66769,1.00812,0.83225,0.83537,0.88254,0.69757,0.73427,0.76919,1.26592,0.000247786,0.000247786,0.000247786
20,3386.53,0.30751,0.64334,1.0061,0.8495,0.82751,0.89307,0.70899,0.76133,0.7786,1.26342,0.000240163,0.000240163,0.000240163
21,3553.99,0.30459,0.62189,1.0037,0.84878,0.80492,0.87108,0.6874,0.76719,0.74508,1.3004,0.00023254,0.00023254,0.00023254
22,3721.33,0.29745,0.60473,0.99588,0.84353,0.82275,0.89034,0.71369,0.76295,0.74863,1.3109,0.000224917,0.000224917,0.000224917
23,3888.6,0.29544,0.59813,1.00215,0.84614,0.82865,0.87599,0.70691,0.75148,0.77168,1.27408,0.000217294,0.000217294,0.000217294
24,4055.2,0.29212,0.57497,0.99535,0.86684,0.82597,0.89773,0.72741,0.74285,0.7193,1.2786,0.000209671,0.000209671,0.000209671
